Title,Date/Year,Drive_Link,Original_File_Name
339263903 531150762523190 1106761330257826126 n,N/A,gdrive_img_1qZqfvUM6mORZ8H_AotmkZFIvSFyEZzxg.jpg,339263903_531150762523190_1106761330257826126_n.jpg
471819393 18476811364040792 2923965240300252459 n,N/A,gdrive_img_1sdhPmkBU983yiRSe8Ow53rVmr7lDgVol.jpg,471819393_18476811364040792_2923965240300252459_n.jpg
1724147817810,N/A,gdrive_img_1c1mX8HKm8okX6xC89-90wZA0JIYonPUY.jpg,1724147817810.jpeg
1737254957478,N/A,gdrive_img_1AzIaQ0hwDMGFPLy-xP_RjnNEbhmSu3GB.jpg,1737254957478.jpeg
1742586125869,N/A,gdrive_img_13gGmk6nGTGB_n2OFdDRd4p4P9d6sdX13.jpg,1742586125869.jpeg
ActionAid Bangladesh May8th 2024,2024,gdrive_img_1WiAzI30gkV-QOYhoectmo3EBF28x1xfX.jpg,ActionAid Bangladesh-May8th 2024.jpg
apgf webinar 4 480x340,N/A,gdrive_img_10o0cikv5yQoKsDbWfUK2Qk5zvgoxOTDR.jpg,apgf-webinar-4-480x340.jpg
CEE.Issues Concern of Freshwater Ecosystems,N/A,gdrive_img_1ZlG9jNaBknedpxBRtG4Oq8bsV2CJbbfw.png,CEE.Issues-Concern of Freshwater Ecosystems.png
CEPT Lecture 2018,2018,gdrive_img_1XHntyV--pvlHE0olDimUTgidAySSEqPc.jpg,CEPT Lecture 2018.jpg
Chandola Lake Sketch.NID Student,N/A,gdrive_img_13lxk19Hy9AqvxjIrB6-w6k80MiyYxaz5.jpg,Chandola Lake Sketch.NID Student.jpg
Compartment S4 FMC.June4.2021,2021,gdrive_img_1EJsoIXFKjEsxdgekjcfGa3FarVRfDN6R.jpg,Compartment S4-FMC.June4.2021.jpg
Council of Architecture TRC SOA KLE Tech Hubballi page 0002,N/A,gdrive_img_1YlkGyi38yJosoSWe9bLmob8D48FeIi_d.jpg,Council of Architecture-TRC - SOA KLE Tech Hubballi_page-0002.jpg
CPRG Talk SDG14,N/A,gdrive_img_17Lt5YJfBy_AnNvLFn1tdYRmNeOlrwuun.jpg,CPRG-Talk-SDG14.jpg
CPRG.21.12.24.Water Policy,2024,gdrive_img_1g6-ENcl6yMBqJUXru6s3cy9xoOyr-k4E.jpg,CPRG.21.12.24.Water Policy.jpeg
Dayalbagh Agra.31.07.24.DR. Mansee,2024,gdrive_img_1ue-4qzhhS5B5J3MCQfzrhcFbi8u_5aqA.jpg,Dayalbagh Agra.31.07.24.DR. Mansee.jpg
Dr. Mansee Bal Bhargava,N/A,gdrive_img_1aKvJC5uhQ2mT2olwAXUFFti7Qt1RZPaZ.png,Dr. Mansee Bal Bhargava.png
Drop Talk 1,N/A,gdrive_img_1ESS_gOqmMRnclLol_gBNIvLRQHcPHf2T.jpg,Drop Talk-1.jpg
DSC 0134,N/A,gdrive_img_1xDPLX6XODMmS16i7HdV-P_gTt5eumqXE.jpg,DSC_0134.JPG
ET.Sep 26.2024,2024,gdrive_img_1sCKMJlVto_P4bMAsbTjoxUxp-6a4iptD.jpg,ET.Sep 26.2024.jpeg
EVS Guest speakers 1,N/A,gdrive_img_1UMOa7NVHXOxp3TeLI0IYjvzzs3omfyN1.png,EVS Guest speakers 1.png
ExploreIt talk,N/A,gdrive_img_1pmiCa5pfHqHDY-l4fMAmIU0n3Z9BUK4s.png,ExploreIt talk.jpg
FB IMG 1712561292164,N/A,gdrive_img_16ta6t51wHtM_rgpikQGzkSCgYt8aaDqF.jpg,FB_IMG_1712561292164.jpg
Green Verandah.uly18.2024,2024,gdrive_img_1jx3QgnNd--lxt3nxcALr5mYQcX7WeyDE.jpg,Green Verandah.uly18.2024.jpg
GSQkhbhagAAyG2F,N/A,gdrive_img_1th0HyAJ4sazIJDDNs4Bein5FtzKBh6JG.jpg,GSQkhbhagAAyG2F.jpg
Hemang Vellore.20.06.21,2021,gdrive_img_1BZUX8Enbptz8Iaxk2GN9x8LUn46ycIHD.png,Hemang Vellore.20.06.21.png
https://www.youtube.com/watch?v=kyH yP9o hU,N/A,gdrive_img_1sJrQqNItzcYdVSWj3vw5oqfXzvrbFKwo.jpg,https://www.youtube.com/watch?v=kyH-yP9o-hU.jfif
HYDRAA 2024 10 24,2024,gdrive_img_13IEbIvHAiXImEzb8qCW6JF0iPBUC6HiE.jpg,HYDRAA-2024-10-24.jpg
IDRC2020 Schedule & Speakers Page 1,N/A,gdrive_img_1PN-pB-kWvMUPFUirQ7Kspp0Aq83cVw7G.jpg,IDRC2020_Schedule & Speakers_Page_1.jpg
IDRC2020 Schedule & Speakers Page 2,N/A,gdrive_img_1pBN_b0J0GDjErF2yLxeJfFHpsq9RMoRo.jpg,IDRC2020_Schedule & Speakers_Page_2.jpg
IIDA 2023,2023,gdrive_img_1IoDkjN0L9vFbhuSUbtqzF9OLNboseSqK.jpg,IIDA-2023.jpeg
IIDA talk,N/A,gdrive_img_1XQAebdNwEMIhNmEH2Cl3kx9z_6O0oUNK.jpg,IIDA-talk.jpg
IMG 20200611 225711 901,N/A,gdrive_img_1JlTF_jbeaoIoyuoxPrjgQx9JmtXrMVob.jpg,IMG_20200611_225711_901.jpg
IMG 20200630 161339 322,N/A,gdrive_img_1jgZ2T4Z-XQfCmHh6xUrN_VoRrLUfLl8v.jpg,IMG_20200630_161339_322.jpg
IMG 20200710 115604 887,N/A,gdrive_img_10kgxSP__-RoKykuFKF4u5I4GPEr_nbKY.jpg,IMG_20200710_115604_887.jpg
IMG 20200930 210014 520,N/A,gdrive_img_16hGwlPjopX3c2ufZlc8gWDOWreah7wUz.jpg,IMG_20200930_210014_520.jpg
IMG 20230321 182145 271,N/A,gdrive_img_121P7cQJBrRqgY-K-SaJbpjJN889-o3lg.webp,IMG_20230321_182145_271.jpg
IMG 20231202 091006 703,N/A,gdrive_img_1Ex95prY56nE_cdveMu4Qb_lL0PJnkRGL.jpg,IMG_20231202_091006_703.jpg
IMG 20240303 001656 287,N/A,gdrive_img_1HzfGJMWesh11dHBxHh8ZsiSxP1Ruvixt.jpg,IMG_20240303_001656_287.jpg
IMG 20240308 130852 945,N/A,gdrive_img_13jjLsEyZNXsKT1_l_eOEbH1sFJZaukZS.jpg,IMG_20240308_130852_945.jpg
IMG 20240429 102942 604,N/A,gdrive_img_1yGfDsZTWvNC8AezwDweOyJZRZP5TfvQ1.jpg,IMG_20240429_102942_604.jpg
IMG 20240429 231344 049,N/A,gdrive_img_1joGLJ7kqVh3x4Zf8laio8GdhgrCjAn0-.jpg,IMG_20240429_231344_049.jpg
IMG 20240604 211045 465,N/A,gdrive_img_150Zl87nyMeaMkXRpUj6If0-N6gvE51g4.webp,IMG_20240604_211045_465.webp
IMG 20240825 WA0060,N/A,gdrive_img_1Vx1kQ7REhFz2Q4Gjnf7CLrnOEMGqhetu.jpg,IMG-20240825-WA0060.jpg
IMG 20240826 WA0017,N/A,gdrive_img_190TSrBSmr9q077IDGsMoXWRXb_DvPh_b.jpg,IMG-20240826-WA0017.jpg
IMG 20241005 WA0090,N/A,gdrive_img_1BCByMYU5L4u7UAWwL8lwHqROUPe06XVL.jpg,IMG-20241005-WA0090.jpg
IMG 20241107 WA0002,N/A,gdrive_img_1KPd1qJhlC-a5eN3GZxN5E1RDFdCoHDxr.jpg,IMG-20241107-WA0002.jpg
IMG 20241107 WA0031,N/A,gdrive_img_1Httb3ic9oanS_DMSDn3Xzu_RDsfy8_bL.jpg,IMG-20241107-WA0031.jpg
IPA speech,N/A,gdrive_img_1koQtK3S3VYOjl7ZgIyJVXX5rQOsHomle.jpg,IPA-speech.jpg
ITPI.Womens Day Session 1.MBB,N/A,gdrive_img_1EWNkOv66UH3qc6W8CUpAfcMh4BO971pb.jpg,ITPI.Womens Day-Session 1.MBB.JPG
Kolkata Plastic Pollution,N/A,gdrive_img_1DSnc6bMduht3zuEveFizgArWw4Ar1t-G.jpg,Kolkata Plastic Pollution.jpg
Mansee Bal Bhargava,N/A,gdrive_img_114MjwSmNxTZbL4R3CpfAe5Hd7nOinuRV.jpg,Mansee Bal Bhargava.jpg
Mansee Bal Bhargava.What not to do on waterscape,N/A,gdrive_img_1yqw6LPcJrliamJ2NPRoPYIorOsxb5lfQ.jpg,Mansee Bal Bhargava.What not to do on waterscape.jpg
Mansee Bal Bharghav dec 22 2024 page 0002,N/A,gdrive_img_1e2qVe_r2O6WSbeuILmzJueEJj6jfzX8s.jpg,Mansee Bal Bharghav dec 22 2024_page-0002.jpg
Mansee Bhargava A Social ecological approach to urban lake governance and sustainability in India 1,N/A,gdrive_img_1udpkzbfXSXayU4wuNYkdhXJhfR5QA8bq.png,Mansee-Bhargava_A-Social-ecological-approach-to-urban-lake-governance-and-sustainability-in-India-1.png
MOI Youth Sustainability Conference,N/A,gdrive_img_19vsK8zvVRtTLKIFGstkCUqT-dgzuVttm.png,MOI Youth Sustainability Conference.png
nal srovar 2023 6,2023,gdrive_img_1OmE2JpwgixKJU_TviB2z2tFgQOtimqo0.jpg,nal srovar 2023-6.jpg
Nuffic NESO Alumni Webinar 1st July,N/A,gdrive_img_12aAQzf1BV-tq2PVTjutKoYyViM5Gxm1q.jpg,Nuffic NESO Alumni Webinar 1st July.jpg
O2h talk,N/A,gdrive_img_1snethiehrAaSdR7LYmCGEHJz_l1oOTfB.jpg,O2h talk.jpg
RSPWP.National Conference Updated Flyer 18 12 2024 page 0001,N/A,gdrive_img_1xRyGeuabfg1i1ua70hs51WzaLBZLJi6e.jpg,RSPWP.National_Conference_Updated_Flyer_18_12_2024_page-0001.jpg
Sarkhej Lake Walk n Talk,N/A,gdrive_img_1jXYBuHJR7vj7w59_Ext2bqVI2BQlXG_2.jpg,Sarkhej Lake  Walk n Talk.jpg
Screenshot 2023 08 26 171136,2023,gdrive_img_1Tz0pkvFHOjGPaJ5rDEZZxgmkKrUl_E_g.png,Screenshot 2023-08-26 171136.png
Screenshot 2023 08 26 171419,2023,gdrive_img_1ZnwPrcPsxMeLC_qXitOc4GkNMRN7YUzO.png,Screenshot 2023-08-26 171419.png
Screenshot 2023 09 01 225249,2023,gdrive_img_1b7ipx47sNTPaGTaWw9XnjQBgt0bx_Ume.png,Screenshot 2023-09-01 225249.png
Screenshot 2025 07 15 161127,2025,gdrive_img_16Vi7NwqWDxxJKUJy5KGFsWmWAMBMVhLq.png,Screenshot 2025-07-15 161127.png
Screenshot 2025 08 04 005643,2025,gdrive_img_1qwC1fPf5K173_bj6HXcka2xLiPAMW2IP.png,Screenshot 2025-08-04 005643.png
Screenshot 2025 08 04 011116,2025,gdrive_img_1l6ucJNQSUQ_mYP_JUnUWEbu8gGo0kIjz.png,Screenshot 2025-08-04 011116.png
Screenshot 2025 08 04 012428,2025,gdrive_img_1pvl7gtJRduwjJrzePTm_1vNsjLRveJvx.png,Screenshot 2025-08-04 012428.png
SIWI WWW 2023 Flyer (2),N/A,gdrive_img_1AycRYNzOl09r1MO_UujvFE1LDoj1M6MI.jpg,SIWI_WWW_2023_Flyer (2).jpg
Trash Talk 2.0,N/A,gdrive_img_1DvjBoxrxDUx21b_Qz81ghpct2GxiWzCG.jpg,Trash Talk 2.0.jpeg
WhatsApp Image 2021 03 30 at 14.37.22 (Small),2021,gdrive_img_1-zTUGkpSsIzjsKfUqoHsrbLY7nld3y9n.jpg,WhatsApp Image 2021-03-30 at 14.37.22 (Small).jpeg
WhatsApp Image 2021 05 14 at 15.46.31,2021,gdrive_img_1tJlP4BT9Y_plYJKviCV5sjonicGp0C0n.jpg,WhatsApp Image 2021-05-14 at 15.46.31.jpeg
WhatsApp Image 2021 06 01 at 13.51.48,2021,gdrive_img_1rpV3ktRCBXILXglKuyfBslV_j0nBHsJg.jpg,WhatsApp Image 2021-06-01 at 13.51.48.jpeg
WhatsApp Image 2021 06 05 at 08.51.36,2021,gdrive_img_1X8OpzYOxvk3tz644L6_ZXDAfOKOKKoMM.jpg,WhatsApp Image 2021-06-05 at 08.51.36.jpeg
WhatsApp Image 2021 06 12 at 12.02.40,2021,gdrive_img_14gFKJZnxx_kKHu-zsKIDgej-AidhXmrl.jpg,WhatsApp Image 2021-06-12 at 12.02.40.jpeg
WhatsApp Image 2021 11 25 at 09.32.12,2021,gdrive_img_14O3S-HrJkQe2vQR9kAfETO4zCe965uzU.jpg,WhatsApp Image 2021-11-25 at 09.32.12.jpeg
WhatsApp Image 2022 01 06 at 14.25.13,2022,gdrive_img_18YT2DtLMFX2Xgp57DRAOEhGO0fEb-hEI.jpg,WhatsApp Image 2022-01-06 at 14.25.13.jpeg
WhatsApp Image 2023 07 09 at 13.59.29,2023,gdrive_img_1eXnDu65JErUzMDjwJYUwM0SpZNcdqsYH.jpg,WhatsApp Image 2023-07-09 at 13.59.29.jpeg
WhatsApp Image 2023 07 10 at 20.14.44,2023,gdrive_img_1fuQndctCpNiO16BB7Pj5X5f9PkyeusfU.jpg,WhatsApp Image 2023-07-10 at 20.14.44.jpeg
WhatsApp Image 2023 08 24 at 15.00.40,2023,gdrive_img_1ZjnyFc-0ZV44Yx_4ODiGCxSvbO2DQyBM.jpg,WhatsApp Image 2023-08-24 at 15.00.40.jpeg
WhatsApp Image 2023 08 31 at 22.00.00,2023,gdrive_img_1HtmBdMawGnpWs9nen2s4RaziMWenc1dn.jpg,WhatsApp Image 2023-08-31 at 22.00.00.jpeg
WhatsApp Image 2023 09 03 at 13.49.14,2023,gdrive_img_1SdjJdbzPxgv-IN8jEkylgxIWYLqFMcc-.jpg,WhatsApp Image 2023-09-03 at 13.49.14.jpeg
WhatsApp Image 2023 09 09 at 11.18.59,2023,gdrive_img_1dIw1OZWnl_RPK_mPqW2E9Znw3dJR3-Ci.jpg,WhatsApp Image 2023-09-09 at 11.18.59.jpeg
WhatsApp Image 2023 09 27 at 10.55.20,2023,gdrive_img_1wxU5Lk48FIqdk_jQwdGyQNq5A17KsalG.jpg,WhatsApp Image 2023-09-27 at 10.55.20.jpeg
WhatsApp Image 2024 01 20 at 04.36.20,2024,gdrive_img_1UaL-wBGavDwJVK9Otgu7DH8gIHwQT6jB.jpg,WhatsApp Image 2024-01-20 at 04.36.20.jpeg
WhatsApp Image 2024 09 25 at 22.53.30 4d711e44,2024,gdrive_img_1jBrr_FkuAKJDF18iMOs6EZn-1k5TkHrE.jpg,WhatsApp Image 2024-09-25 at 22.53.30_4d711e44.jpg
WhatsApp Image 2025 04 26 at 00.22.51 cd38de21,2025,gdrive_img_15MVC95NEoz3_hC8G3aOl6mjtP0R6O6H2.jpg,WhatsApp Image 2025-04-26 at 00.22.51_cd38de21.jpg
WhatsApp Image 2024 12 06 at 14.49.01.jpeg.800x0 q85 upscale,N/A,gdrive_img_1Y5a89whtZ1mJFcpRXx2eT9VEE-3FtbQM.jpg,WhatsApp_Image_2024-12-06_at_14.49.01.jpeg.800x0_q85_upscale.jpg
WHM March 2022 01 01 01 01,2022,gdrive_img_10T86yuddlmNIIutmOsTpMkvobD2_1Z3M.jpg,WHM March 2022-01-01-01-01.jpg
why waste water,N/A,gdrive_img_19u7jyl53yBvEjxREM0X0C2o777bBBD-3.jpg,why waste water.jpg
Woxen Water in Ar.Oct 24,N/A,gdrive_img_1EjYVeDRY2turr5UGYUU9BYEvrrluS95w.jpg,Woxen-Water in Ar.Oct 24.jpeg
06.06.25.sustaiing sustainability 2,2025,gdrive_img_1OTNq4VgvTST2-I4bzChtrLMydLE5UI0C.jpg,06.06.25.sustaiing sustainability-2.jpg
20.09.2023 Workshop Humanities,2023,gdrive_img_1Cwc-wxh9mRzg5yf5KUhL8GcK5vLAvASc.jpg,20.09.2023 - Workshop Humanities.jpg
2018.April.IHS guest lecturer,2018,gdrive_img_1NCx8Z7DSMNiK36dSMmTJY9QAJs0SLwYG.jpg,2018.April.IHS guest lecturer.png
2024.Water and Food Security.Manipur,2024,gdrive_img_1gTUJ17KAb3wzIzgjpKMIIhITN9WYqjJe.jpg,2024.Water and Food Security.Manipur.jpg
2025.ACETECH.Mar 8,2025,gdrive_img_1yWKVlvKrP_XX27hPYi4W8eUqbE_dvtxK.jpg,2025.ACETECH.Mar 8.jpeg
IMG 20240711 215610 704,N/A,gdrive_img_1wxuH762pub1B6Wo0qJZ7k3ROpfq3bXKC.jpg,IMG_20240711_215610_704.jpg
